id,x_gis,y_gis,x_nlogo,y_nlogo
135,163510.54312056873,5398502.111477523,-54.96517798979174,70.73375029800047
136,163511.83085095932,5398502.588626302,-54.664990569940855,70.83194563267205
137,163521.9867642222,5398506.351737352,-52.29750944119861,71.60637902840031
138,163522.67538915103,5398507.54431415,-52.136981630300085,71.85180662454692
139,163810.32650927608,5397874.221111269,14.91839595411291,-58.48360789086993
140,163811.37105761358,5397875.112995494,15.161894339049951,-58.30006163882807
141,163828.282343141,5397889.55261401,19.104144367440483,-55.328445162220824
142,163829.2025063837,5397890.577082517,19.318646899715247,-55.11761358859531
143,163828.282343141,5397889.55261401,19.104144367440483,-55.328445162220824
144,163829.4763531115,5397890.229786223,19.38248428621536,-55.18908579458654
145,163847.97476106245,5397900.720969173,23.694714078061338,-53.03004176719665
146,163849.07711574752,5397901.544764989,23.951687906662016,-52.860507840985136
147,163623.37655643708,5397967.577759457,-28.66217370109115,-39.271178306713985
148,163622.2449237316,5397966.788465872,-28.92597263335294,-39.43361180990944
149,163943.3533007745,5398326.449667064,45.928745327656685,34.58324329521611
150,163944.15648467682,5398325.328191795,46.11597838906866,34.35244811310548
151,164002.65319352038,5398243.705106739,59.752354625828985,17.55473949219531
152,164003.43536035297,5398242.566981411,59.934688323228414,17.320517793438952
153,164029.65930198683,5398206.112343509,66.04784479988444,9.818297252119933
154,164030.4746790949,5398205.001316612,66.23792026293998,9.589652303518733
155,164055.17372927675,5398171.346470756,71.99560385965037,2.6636179105963294
156,164055.9927706893,5398170.238583454,72.1865335217785,2.4356190781611247
157,164062.46515592374,5398161.483617688,73.69533430648588,0.6338816918906502
158,164063.24751215178,5398160.345611171,73.87771215453273,0.39968444409549875
159,164069.26677681122,5398151.590049784,75.2808843874223,-1.4021755185906812
160,164070.0723726829,5398150.47067198,75.46867971160509,-1.632539050857531
161,164093.63461334593,5398117.730776299,80.96135759065615,-8.370280310537396
162,164094.4418802613,5398116.612833908,81.1495424577879,-8.60034844047128
163,163778.2998917747,5398429.428195297,7.4525570296057,55.775817801267834
164,163779.67062542858,5398429.362953604,7.772093635927789,55.76239131853606
165,163719.5232006357,5398423.574842299,-6.249086877684093,54.57122086599452
166,163720.8767395468,5398423.809539652,-5.9335585991258455,54.61952065457345
167,163595.64687128048,5398404.171234039,-35.126339415671865,50.57803489989456
168,163587.48715260532,5398401.4673298625,-37.02848051113363,50.02158209664523
169,163580.4183649399,5398396.689410211,-38.67631079165938,49.03830509759615
170,163574.9637098909,5398391.343059311,-39.947864866414115,47.938047192133126
171,163439.755056373,5398603.924339992,-71.46683586983674,91.68643539230575
172,163438.9335270529,5398605.030189993,-71.65834549695546,91.91401495610361
173,163378.35122525113,5398261.541366979,-85.7809017396859,21.225371424133186
174,163379.1483902193,5398260.414751135,-85.59507177345623,20.993518331865374
175,163382.5145742068,5398255.657394469,-84.81036862958463,20.014473114125295
176,163383.3127781233,5398254.531668146,-84.62429647041313,19.782803081786042
177,163650.46058854726,5398305.018355512,-22.348518468786267,30.172763998129483
178,163651.2277692844,5398303.871828737,-22.169678233497578,29.936813314758098
179,163530.06855925397,5398162.866260006,-50.413533403911664,0.918424021759165
180,163529.6514384229,5398161.554315694,-50.51076992714428,0.6484310623949341
181,163687.875069403,5398250.019231107,-13.626695519457272,18.854161356227124
182,163687.76520630028,5398251.39210677,-13.652306098803393,19.13669374685921
183,163674.59465415127,5398279.654193564,-16.72254044019222,24.952919618108993
184,163673.75775088204,5398280.746834358,-16.91763394337525,25.177780779265376
185,163828.30460703932,5398398.502254033,19.1093343841074,49.411381198441916
186,163827.4720636944,5398399.598644459,18.91525723841852,49.63701401892396
